Municípios,Densidade Empresarial,Renda,Educação,Valores Solidários - programas e ações,Tecido Social,Tecido Empresarial,Articulação,Gestão Pública,Participação e Controle Social,Vantagens Locais,Organização Produtiva,Comércio Internacional
Taciba,0.315027986,0.59122079,0.813079438,0,0.0000586,0,0.166666667,0.525277273,0.341269841,0.353431063,0.447079539,0.06779201
Taguaí,0.200212526,0.602968287,0.785910313,0,0.000387006,0,0.166666667,0.617736282,0.530238095,0.351020133,0.216750598,0.06779201
Taiaçu,0.301641311,0.607027885,0.764919294,0,0.000258004,0,0.083333333,0.576212306,0.275079365,0.371977756,0.479064911,0.06779201
Taiúva,0.279659246,0.649285059,0.813650537,0,0.000140729,0,0.083333333,0.630184824,0.158174603,0.452143397,0.474239257,0.06779201
Tambaú,0.322941391,0.640254071,0.765458114,0,0.002169579,0.001000801,0.083333333,0.808980281,0.428015873,0.399557105,0.454043881,0.06779201
Tanabi,0.394579371,0.653279693,0.824740274,0.857142857,0.000832649,0,0,0.515026104,0.483015873,0.391964912,0.474909729,0.06779201
Tapiraí,0.231030327,0.497361741,0.722278531,0,0.0000352,0,0.583333333,0.762418163,0.458015873,0.267439283,0.480315088,0.06779201
Tapiratiba,0.242354321,0.612269643,0.79852317,0,0.000340096,0,0.083333333,0.434672302,0.470079365,0.384505232,0.407088268,0.06779201
Taquaral,0.195678216,0.66120829,0.800186826,0,0.0000235,0,0.083333333,0.691688581,0.546984127,0.388545876,0.359232727,0.06779201
Taquaritinga,0.374441572,0.635563993,0.809123114,0,0.003307142,0.000800641,0.166666667,0.740117534,0.555952381,0.392647231,0.507197426,0.06779201
Taquarituba,0.367595068,0.586536431,0.760617331,0,0.000387006,0.00040032,0.25,0.848762651,0.440952381,0.328250845,0.492880796,0.06779201
Taquarivaí,0.357835272,0.457122606,0.774008406,0.714285714,0.0000235,0,0,0.614059799,0.352142857,0.263884216,0.466445123,0.06779201
Tarabai,0.214691816,0.552904223,0.798291073,0,0.0000235,0,0.166666667,0.476108237,0.336269841,0.326255355,0.463682255,0.06779201
Tarumã,0.357220131,0.641982162,0.809648776,0.714285714,0.0000352,0.00040032,0.333333333,0.707222055,0.255793651,0.379224398,0.415693675,0.093063459
Tatuí,0.238315312,0.642328679,0.802598952,0,0.004644072,0.001200961,0.083333333,0.650894162,0.367539683,0.395208559,0.539810672,0.140841191
Taubaté,0.238856656,0.711239487,0.877486138,0.428571429,0.013533482,0.004203363,0.166666667,0.739556926,0.426428571,0.410457028,0.579726171,0.178411324
Tejupá,0.284865179,0.525397147,0.716991918,0.285714286,0.0000352,0,1,0.429773442,0.404206349,0.246733058,0.397029302,0.06779201
Teodoro Sampaio,0.275205674,0.576391391,0.792934872,0.571428571,0.00184121,0,0.083333333,0.499265354,0.461507937,0.33428615,0.475706967,0.06779201
Terra Roxa,0.256936174,0.649687386,0.824491107,0,0.000656737,0,0,0.482611896,0.422142857,0.368745022,0.481328136,0.06779201
Tietê,0.303545104,0.692356507,0.812983719,0,0.001641844,0.001801441,0.083333333,0.736365456,0.606825397,0.421172413,0.508337929,0.091938163
Timburi,0.343967236,0.56547384,0.78734659,0,0.000117275,0,0.166666667,0.239487447,0.380238095,0.385480563,0.44651348,0.06779201
Torre de Pedra,0.183984522,0.56270446,0.804680277,0,0.0000117,0,0.083333333,0.567829724,0.325079365,0.374326303,0.457339866,0.06779201
Torrinha,0.546800653,0.663219892,0.748002395,0.857142857,0.000820922,0,0.083333333,0.623717211,0.306111111,0.392103877,0.468795487,0.06779201
Trabiju,0.298421709,0.547330657,0.818578506,0,0,0,0,0.314676891,0.423333333,0.422429616,0.392968838,0.06779201
Tremembé,0.195014474,0.683874306,0.842069227,0,0.003072593,0,0.333333333,0.648453783,0.365238095,0.327384573,0.502537754,0.11895015
Três Fronteiras,0.289099696,0.630866324,0.800326167,0,0.0000352,0,0.083333333,0.403938802,0.380079365,0.365491586,0.480200061,0.06779201
Tuiuti,0.328529834,0.609867618,0.768458869,0,0.0000235,0,0.333333333,0.707746001,0.150238095,0.306340826,0.483675765,0.06779201
Tupã,0.263546557,0.68159367,0.81802724,0.428571429,0.006543919,0.001200961,0,0.769448903,0.507857143,0.390120042,0.517331789,0.078584183
Tupi Paulista,0.278622947,0.692355428,0.845540294,0,0.000903014,0.00040032,0.083333333,0.530657291,0.453888889,0.408855518,0.487678612,0.06779201
Turiúba,0.735897551,0.630949561,0.829551972,0,0.0000117,0,0.166666667,0.506425084,0.401269841,0.415759599,0.372661468,0.06779201
Turmalina,0.290043072,0.64960757,0.796260858,0.714285714,0.0000117,0,0.083333333,0.656185996,0.268174603,0.404818239,0.383113851,0.06779201
Ubarana,0.244731456,0.584818853,0.775679708,0,0,0,0,0.44803309,0.430079365,0.344929894,0.34289889,0.06779201
Ubatuba,0.306092604,0.625084142,0.820558262,0.714285714,0.010613346,0.004803843,0,0.571639654,0.597539683,0.293867687,0.491908478,0.06779201
Ubirajara,0.255780725,0.572747774,0.770504125,0.857142857,0.000351824,0,0,0.271129945,0.460238095,0.353557465,0.3064088,0.06779201
Uchoa,0.365150625,0.616511816,0.777485325,0,0.000117275,0.00040032,0,0.651470455,0.310238095,0.398433048,0.466824686,0.06779201
União Paulista,0.381608042,0.620519158,0.757474819,0,0,0,0,0.485592184,0.370396825,0.380419011,0.456707093,0.06779201
Urânia,0.293238646,0.634184299,0.826260612,0,0.000175912,0,0.25,0.509817119,0.561984127,0.377735999,0.467002798,0.06779201
Uru,0.703522543,0.566629127,0.764848383,0.571428571,0.0000469,0,0,0.206776945,0.463174603,0.316394141,0.380358861,0.06779201
Urupês,0.532560395,0.672400377,0.803158119,0.571428571,0.000187639,0.001601281,0,0.578955619,0.153174603,0.407167085,0.449607094,0.06779201
Valentim Gentil,0.366611007,0.618951969,0.810015771,0,0.000187639,0.00040032,0.083333333,0.459971416,0.460238095,0.384297233,0.416761308,0.06779201
Valinhos,0.323033197,0.871161587,0.882539719,0.142857143,0.011000352,0.004603683,0.25,0.761779079,0.532698413,0.446472148,0.565212639,0.135269343
Valparaíso,0.213140683,0.624730854,0.795737458,0,0.001055471,0.003402722,0.083333333,0.65671295,0.212142857,0.370350778,0.431857695,0.06779201
Vargem,0.203046388,0.592364065,0.74622067,0.142857143,0.0000586,0,0,0.613438563,0.231428571,0.302499955,0.487992471,0.06779201
Vargem Grande do Sul,0.284046546,0.635972428,0.768358158,0,0.00114929,0.001601281,0.166666667,0.603526147,0.509761905,0.389438673,0.496635784,0.06779201
Vargem Grande Paulista,0.245139584,0.67280216,0.823220939,0,0.002873226,0.00020016,0,0.824870149,0.336984127,0.356579861,0.50266491,0.133745409
Várzea Paulista,0.183416444,0.632631175,0.814280675,0.714285714,0.003260232,0,0.083333333,0.726083024,0.513015873,0.387344029,0.503696244,0.149950615
Vera Cruz,0.230030074,0.62097771,0.834718088,0.714285714,0.000258004,0,0.083333333,0.367636559,0.457301587,0.338077087,0.460318247,0.06779201
Vinhedo,0.314963255,0.85009589,0.878623924,0,0.006637739,0.001200961,0.416666667,0.771757878,0.538730159,0.449511743,0.573876764,0.263592792
Viradouro,0.313544339,0.635014642,0.783139344,0.428571429,0.000586373,0,0.083333333,0.676330304,0.491984127,0.410224682,0.471791855,0.06779201
Vista Alegre do Alto,0.293506367,0.654161012,0.816772348,0,0.000140729,0,0.25,0.584958807,0.388888889,0.43137904,0.374342047,0.141344178
Vitória Brasil,0.238031384,0.598015638,0.774520186,0,0,0,0.166666667,0.204784408,0.463333333,0.314446155,0.385984074,0.06779201
Votorantim,0.213479209,0.631282914,0.852068057,0.571428571,0.005218717,0.001601281,0.333333333,0.808547667,0.506825397,0.393764729,0.523446834,0.109060257
Votuporanga,0.2884234,0.705293109,0.859426637,1,0.004948986,0.00060048,0.166666667,0.881524114,0.54547619,0.434597236,0.501348822,0.085599182
Zacarias,0.414236744,0.612623971,0.786587425,0,0.000140729,0,0,0.569851761,0.428174603,0.434725796,0.45256728,0.06779201
